Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	GLC golden Brothers/lovers/farto		1st	1st	1st	2nd	1st	14	804	4	1
2	Auckland A		1st	1st	1st	1st	2nd	14	794	4	1
3	Indus Water Treaty		1st	4th	1st	1st	1st	12	784	4	0
4	GLC MC		1st	1st	2nd	3rd	1st	12	779	3	1
5	SLSP Y	Novice	1st	2nd	1st	2nd	2nd	12	774	2	3
6	Ed Sheeran Returns June 25th		—	1st	1st	1st	1st	12	633	4	0
7	Maier-Gant/Wikramanayake		1st	1st	3rd	1st	3rd	11	799	3	0
8	LSE Calling		1st	2nd	1st	4th	1st	11	783	3	1
9	UST CH		1st	3rd	3rd	1st	1st	11	780	3	0
10	Vellore A		1st	2nd	2nd	2nd	2nd	11	780	1	4
11	Angry Feminist Type		2nd	1st	1st	1st	4th	11	778	3	1
12	Smol Debaters Big Impacts		2nd	2nd	1st	2nd	2nd	11	777	1	4
13	BITS H A		1st	1st	2nd	4th	1st	11	774	3	1
14	IITB M		1st	2nd	2nd	1st	3rd	11	768	2	2
15	Good Cop Bad Cop		2nd	1st	4th	2nd	1st	10	777	2	2
16	Champagne Socialists		1st	1st	4th	1st	3rd	10	774	3	0
17	Knives Out		3rd	1st	4th	1st	1st	10	773	3	0
18	SXC DD		1st	2nd	2nd	1st	4th	10	773	2	2
19	High BP		3rd	1st	1st	3rd	2nd	10	772	2	1
20	Munnabhai mbbs	Novice	1st	4th	2nd	1st	2nd	10	768	2	2
21	Honey Mustard		3rd	1st	—	1st	1st	10	613	3	0
22	2BrokeGirls	Novice	—	3rd	1st	1st	1st	10	610	3	0
23	MH		2nd	1st	3rd	3rd	2nd	9	773	1	2
24	The simp sons		2nd	1st	4th	1st	3rd	9	772	2	1
25	Tsk Tsk		2nd	2nd	1st	2nd	4th	9	772	1	3
26	IITB D		1st	2nd	3rd	1st	4th	9	771	2	1
27	We Have Our Submissions Next Week		4th	1st	1st	4th	1st	9	770	3	0
28=	SXC CM		2nd	1st	2nd	3rd	3rd	9	769	1	2
28=	Bite is worse than my BArc		1st	3rd	3rd	2nd	2nd	9	769	1	2
30	IIT-D		2nd	4th	1st	1st	3rd	9	765	2	1
31	Troy and Abed Debating		2nd	1st	4th	1st	3rd	9	764	2	1
32	Chewbacca Loves Chole		2nd	4th	2nd	2nd	1st	9	762	1	3
33	trying to break, but not emotionall		1st	3rd	2nd	3rd	2nd	9	761	1	2
34	Broke but Broke		2nd	2nd	3rd	2nd	2nd	9	759	0	4
35	Team Blabbers		1st	4th	1st	4th	1st	9	758	3	0
36	Panic! At The Discord		1st	3rd	3rd	3rd	1st	9	757	2	0
37	KitKat	Novice	—	1st	1st	4th	1st	9	621	3	0
38	pls help		—	2nd	1st	2nd	2nd	9	614	1	3
39	Second Cousins		2nd	3rd	1st	2nd	4th	8	776	1	2
40	IITB B		3rd	1st	1st	3rd	4th	8	769	2	0
41	Am I Audible?		3rd	1st	1st	4th	3rd	8	768	2	0
42	SLSP X		2nd	3rd	1st	3rd	3rd	8	766	1	1
43	[REDACTED]		1st	4th	2nd	4th	1st	8	763	2	1
44	Syriasly Speaking	Novice	2nd	2nd	2nd	2nd	4th	8	762	0	4
45	SXC AW	Novice	2nd	2nd	2nd	4th	2nd	8	760	0	4
46	IIT KGP A	Novice	3rd	2nd	2nd	2nd	3rd	8	759	0	3
47	Barbie Girls	Novice	4th	1st	3rd	1st	3rd	8	755	2	0
48	IITB S		4th	1st	2nd	3rd	2nd	8	755	1	2
49	Johnlock	Novice	3rd	3rd	2nd	3rd	1st	8	755	1	1
50	J.A.W.S.	Novice	3rd	1st	4th	2nd	2nd	8	754	1	2
51	B1G1	Novice	4th	3rd	2nd	2nd	1st	8	751	1	2
52	Silver Lining	Novice	3rd	4th	1st	3rd	1st	8	747	2	0
53	We don't know how we got in ?		1st	3rd	4th	2nd	2nd	8	746	1	2
54	Get Vaccinated		1st	1st	4th	3rd	4th	7	771	2	0
55	Losers	Novice	2nd	4th	1st	4th	2nd	7	761	1	2
56	MUN Rejects		4th	1st	2nd	3rd	3rd	7	761	1	1
57	GC		3rd	2nd	2nd	2nd	4th	7	760	0	3
58	SXUK 1	Novice	2nd	3rd	4th	2nd	2nd	7	756	0	3
59	Aloo chutney	Novice	3rd	3rd	3rd	2nd	2nd	7	755	0	2
60	IIT KGP C		2nd	3rd	3rd	2nd	3rd	7	754	0	2
61	No shit Sherlock	Novice	3rd	4th	2nd	1st	3rd	7	753	1	1
62	The Devils of Paradis		3rd	3rd	1st	3rd	3rd	7	753	1	0
63	KC-A		1st	3rd	2nd	3rd	4th	7	751	1	1
64	Broca's Aphasia	Novice	4th	2nd	4th	1st	2nd	7	746	1	2
65	We're NoWise	Novice	3rd	2nd	4th	3rd	1st	7	746	1	1
66	Kuch khabar nahi		3rd	2nd	4th	1st	3rd	7	745	1	1
67	Sadputins	Novice	2nd	4th	3rd	3rd	1st	7	743	1	1
68	Bad Batch	Novice	—	2nd	2nd	1st	4th	7	600	1	2
69	Matru ka mandola		3rd	1st	3rd	3rd	4th	6	761	1	0
70	IIT KGP B	Novice	2nd	4th	2nd	2nd	4th	6	761	0	3
71	Team Seychelles		2nd	2nd	3rd	4th	3rd	6	761	0	2
72	HALF TICKET	Novice	2nd	4th	2nd	3rd	3rd	6	756	0	2
73	Aesthete	Novice	3rd	3rd	3rd	1st	4th	6	754	1	0
74	NArcos: Chino Latino	Novice	4th	3rd	4th	1st	2nd	6	752	1	1
75	As flies to wanton boys		2nd	1st	4th	4th	3rd	6	751	1	1
76	LSR 1		1st	4th	4th	4th	1st	6	749	2	0
